"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene"
"Malat1";3,3165481655567e-136;1,513077074708;1;0,892;6,20526161775658e-132;"P21";"Malat1"
"Gria3";4,41724634139347e-100;2,5661647728956;0,657;0,188;8,26466790474719e-96;"P21";"Gria3"
"R3hdm1";1,22996490562576e-99;1,68189315774826;0,821;0,511;2,3012643384258e-95;"P21";"R3hdm1"
"Snhg11";5,24263298306706e-80;0,85011398146025;1;0,838;9,80896631131847e-76;"P21";"Snhg11"
"Coro6";3,45934565200403e-62;2,64774441543664;0,418;0,082;6,47243571489954e-58;"P21";"Coro6"
"Grin2a";4,50045545970498e-58;2,11018620870411;0,562;0,207;8,42035216510802e-54;"P21";"Grin2a"
"Unc80";1,91759419943821e-55;1,66004750755309;0,638;0,286;3,58781874714888e-51;"P21";"Unc80"
"Nos1ap";2,45700697314149e-55;1,91988154946229;0,588;0,235;4,59706004674773e-51;"P21";"Nos1ap"
"Mical2";1,82206258413592e-54;1,97371895921191;0,545;0,203;3,4090790949183e-50;"P21";"Mical2"
"Lamp5";4,1985257907205e-51;3,7358076971097;0,244;0,022;7,85544175443805e-47;"P21";"Lamp5"
"S100b";6,03651972177501e-51;4,71055200853861;0,188;0,007;1,1294328399441e-46;"P21";"S100b"
"Camk2a";1,11419786361891e-49;1,63855562535182;0,599;0,256;2,08466420283099e-45;"P21";"Camk2a"
"Gria2";1,82597297720242e-42;0,744880555865651;0,933;0,834;3,41639544034573e-38;"P21";"Gria2"
"Meg3";4,20065529850695e-42;0,509397039994232;1;0,888;7,85942606350651e-38;"P21";"Meg3"
"Sept4";1,1129834183145e-40;2,98961202497392;0,261;0,042;2,08239197566644e-36;"P21";"Sept4"
"Syne1";2,33593789439949e-40;1,76175548844048;0,5;0,197;4,37053980042145e-36;"P21";"Syne1"
"Ttc14";6,86990029208863e-40;1,0226711730723;0,802;0,546;1,28535834464978e-35;"P21";"Ttc14"
"Snap25";1,19568832253463e-38;1,14424423928942;0,716;0,476;2,2371328514623e-34;"P21";"Snap25"
"Arc";3,92825080105007e-38;5,02772235470102;0,142;0,005;7,34975724876468e-34;"P21";"Arc"
"Kalrn";3,4096938814918e-36;1,27902819795146;0,636;0,352;6,37953725227116e-32;"P21";"Kalrn"
"Mt1";1,24321322362923e-35;4,12145527748233;0,157;0,011;2,32605194141029e-31;"P21";"Mt1"
"Strbp";6,68430634832942e-35;1,23522846584453;0,629;0,381;1,25063371777243e-30;"P21";"Strbp"
"Pde4a";5,61889127987813e-34;1,71105015103983;0,444;0,177;1,0512945584652e-29;"P21";"Pde4a"
"Lgi3";9,0190777522845e-34;3,01434296750014;0,205;0,029;1,68746944745243e-29;"P21";"Lgi3"
"Igsf9b";1,91403473712681e-33;1,66053840180913;0,44;0,167;3,58115899316426e-29;"P21";"Igsf9b"
"Aifm3";1,49666247271067e-32;4,07093889628687;0,138;0,008;2,80025548644166e-28;"P21";"Aifm3"
"3110035E14Rik";3,17015578361052e-32;2,48284103735777;0,254;0,054;5,93136147113528e-28;"P21";"3110035E14Rik"
"Rasgrf1";1,28964326260291e-31;1,91651779409351;0,366;0,123;2,41292254433005e-27;"P21";"Rasgrf1"
"Efr3a";2,09809508561543e-31;2,09779220682333;0,315;0,089;3,92553590518646e-27;"P21";"Efr3a"
"Frmd6";2,5295180109891e-31;3,05748799404818;0,17;0,019;4,73272819856061e-27;"P21";"Frmd6"
"Cttnbp2";3,09375348662756e-31;1,18859906764031;0,616;0,335;5,78841277348017e-27;"P21";"Cttnbp2"
"Tmod1";6,32765896533152e-31;3,91843348853315;0,149;0,013;1,18390499241353e-26;"P21";"Tmod1"
"Slc24a2";7,34568618317335e-30;2,59315676889111;0,231;0,047;1,37437788487173e-25;"P21";"Slc24a2"
"Cit";3,01068474719465e-29;1,53128905498747;0,474;0,23;5,6329911620012e-25;"P21";"Cit"
"Lncpint";3,78500616841104e-29;2,95171155469708;0,168;0,021;7,08174654109705e-25;"P21";"Lncpint"
"Kcna1";3,62654065130178e-28;2,44458173005834;0,22;0,045;6,78525755858564e-24;"P21";"Kcna1"
"Epha10";7,60608510455785e-28;2,38896940180486;0,209;0,04;1,42309852306277e-23;"P21";"Epha10"
"Nr4a1";1,25174412497214e-27;2,88394042787554;0,198;0,036;2,34201325782288e-23;"P21";"Nr4a1"
"Sntb2";1,36991134648589e-27;3,072301398423;0,164;0,022;2,5631041292751e-23;"P21";"Sntb2"
"Homer1";2,67018502988262e-27;1,69914181821039;0,399;0,162;4,99591619091039e-23;"P21";"Homer1"
"Iqsec3";3,8746842258765e-27;2,5434993477595;0,209;0,042;7,24953418661492e-23;"P21";"Iqsec3"
"Hrh3";5,10222878567566e-27;3,90867193914831;0,114;0,007;9,54627005799917e-23;"P21";"Hrh3"
"B230307C23Rik";5,94011591595856e-27;2,28933633491221;0,226;0,05;1,11139568787585e-22;"P21";"B230307C23Rik"
"Gm13629";6,22797026043653e-27;6,03010022985677;0,093;0,002;1,16525323572768e-22;"P21";"Gm13629"
"Nrn1";1,13704768523778e-26;3,33360107201289;0,129;0,011;2,12741621907989e-22;"P21";"Nrn1"
"Sorl1";3,21219534050632e-26;1,26026760549291;0,511;0,255;6,01001748208732e-22;"P21";"Sorl1"
"Tnfrsf25";5,53256756971269e-26;5,03086779257036;0,093;0,003;1,03514339229324e-21;"P21";"Tnfrsf25"
"Ankrd33b";1,76137900423345e-25;5,66540572127261;0,082;0,001;3,29554011692078e-21;"P21";"Ankrd33b"
"Col6a1";1,97623697473891e-25;1,96705341606;0,265;0,075;3,69753937973651e-21;"P21";"Col6a1"
"AC160336.1";2,02715561299641e-25;1,60253514746068;0,381;0,154;3,79280815191628e-21;"P21";"AC160336.1"
"Cd34";2,69451035799371e-25;4,84373550420925;0,091;0,003;5,04142887980624e-21;"P21";"Cd34"
"Kcnn2";3,77617806043911e-25;1,55683370132818;0,392;0,163;7,06522915108157e-21;"P21";"Kcnn2"
"Etv5";5,99020652587163e-25;3,50186722684916;0,131;0,014;1,12076764099058e-20;"P21";"Etv5"
"Kcnb1";1,12434117203905e-24;1,35639485634388;0,444;0,203;2,10364233288507e-20;"P21";"Kcnb1"
"Rnf112";1,15153289957248e-24;1,11895344450567;0,565;0,334;2,15451805510012e-20;"P21";"Rnf112"
"Zmat4";2,01209841985948e-24;4,89009553268833;0,091;0,003;3,76463614355709e-20;"P21";"Zmat4"
"Snrnp70";2,07386826256144e-24;0,939562512047227;0,668;0,442;3,88020751925245e-20;"P21";"Snrnp70"
"Pcgf5";2,47685448235514e-24;2,65899217401377;0,172;0,03;4,63419473648647e-20;"P21";"Pcgf5"
"Pde1a";2,74357463175133e-24;2,47936004378671;0,175;0,031;5,13322813600673e-20;"P21";"Pde1a"
"Tanc1";3,05217616021632e-24;10,1443508557584;0,067;0;5,71062159576474e-20;"P21";"Tanc1"
"Cabp1";4,47809638525035e-24;1,45338257888247;0,414;0,192;8,3785183368034e-20;"P21";"Cabp1"
"Kcna2";5,34618097312082e-24;1,78242308665467;0,295;0,098;1,00027046007091e-19;"P21";"Kcna2"
"Stac2";7,31918981134035e-24;5,20153347597743;0,086;0,003;1,36942041370178e-19;"P21";"Stac2"
"Prkcb";9,28173341134982e-24;1,24077810343091;0,494;0,254;1,73661232126355e-19;"P21";"Prkcb"
"Adra1a";1,18810477074879e-23;4,02866279205349;0,093;0,004;2,22294402607099e-19;"P21";"Adra1a"
"Mpp3";2,00930022030222e-23;2,30742852258819;0,19;0,04;3,75940071218546e-19;"P21";"Mpp3"
"C230004F18Rik";2,05094852056562e-23;1,168223121036;0,524;0,293;3,83732468197827e-19;"P21";"C230004F18Rik"
"Bmp1";8,02096594293978e-23;2,52262477588646;0,14;0,02;1,50072272792403e-18;"P21";"Bmp1"
"Ndst3";1,63616613603484e-22;2,60366919855623;0,166;0,031;3,06126684052118e-18;"P21";"Ndst3"
"Etv1";1,68710952740617e-22;2,12520961140282;0,188;0,041;3,15658192577695e-18;"P21";"Etv1"
"Aak1";2,63179551310511e-22;1,27386725405203;0,444;0,216;4,92408940501965e-18;"P21";"Aak1"
"Vgf";5,5526460979654e-22;2,47618446707506;0,177;0,037;1,03890008492933e-17;"P21";"Vgf"
"Emb";1,04502282329396e-21;3,09203277710862;0,134;0,019;1,955237702383e-17;"P21";"Emb"
"Cds1";2,00305460197943e-21;1,55615195309805;0,254;0,08;3,74771516030351e-17;"P21";"Cds1"
"Osbpl8";2,98262060629003e-21;1,5626016367633;0,3;0,109;5,58048315436864e-17;"P21";"Osbpl8"
"Tacc1";3,17733866733835e-21;1,29434251073069;0,429;0,212;5,94480064659006e-17;"P21";"Tacc1"
"2010300C02Rik";3,99764149111716e-21;2,33140835894273;0,17;0,035;7,47958722988021e-17;"P21";"2010300C02Rik"
"Gm10419";4,14930102218559e-21;1,39030186904175;0,345;0,141;7,76334221250924e-17;"P21";"Gm10419"
"Luc7l2";4,20182303587898e-21;0,925052349639293;0,636;0,437;7,86161090012957e-17;"P21";"Luc7l2"
"Scn4b";5,75086601690242e-21;4,86665218823889;0,08;0,003;1,07598703176244e-16;"P21";"Scn4b"
"Thpo";5,87860861205875e-21;3,93934103117864;0,091;0,006;1,09988767131619e-16;"P21";"Thpo"
"Plp1";7,0068238588888e-21;3,4772015194221;0,116;0,014;1,3109767439981e-16;"P21";"Plp1"
"Sorbs2";1,04719455344898e-20;1,43620650149951;0,31;0,118;1,95930100950303e-16;"P21";"Sorbs2"
"Bhlhe40";1,25848846343684e-20;2,40960273969814;0,164;0,033;2,35463191509034e-16;"P21";"Bhlhe40"
"Cpeb1";1,37042534475481e-20;1,77030430327906;0,239;0,073;2,56406582003625e-16;"P21";"Cpeb1"
"Car7";2,86121535705145e-20;3,38435413003468;0,106;0,011;5,35333393304326e-16;"P21";"Car7"
"Ints6l";4,46573572230809e-20;1,60331166665852;0,297;0,113;8,35539153643844e-16;"P21";"Ints6l"
"Zmynd8";4,55374623972078e-20;1,39034031584334;0,379;0,177;8,52005921451758e-16;"P21";"Zmynd8"
"Specc1";5,8367027026487e-20;2,77018386511437;0,136;0,022;1,09204707566557e-15;"P21";"Specc1"
"Ogt";8,25259970759807e-20;1,14732928914386;0,444;0,225;1,5440614052916e-15;"P21";"Ogt"
"Hapln4";9,75558932903465e-20;9,80486123089558;0,054;0;1,82527076346238e-15;"P21";"Hapln4"
"Scai";1,56876583340302e-19;1,27791345245274;0,349;0,15;2,93516087429706e-15;"P21";"Scai"
"Htr1f";1,81818881959823e-19;1,92006895620376;0,216;0,063;3,40183128146829e-15;"P21";"Htr1f"
"Pde10a";2,04483331041006e-19;1,60269482253873;0,289;0,11;3,82588312377722e-15;"P21";"Pde10a"
"Sh2d5";2,09321320344041e-19;2,17976720167494;0,164;0,036;3,91640190363701e-15;"P21";"Sh2d5"
"Dexi";2,45812049332687e-19;2,10024922735607;0,149;0,029;4,59914344301457e-15;"P21";"Dexi"
"Gpatch8";3,79224068222358e-19;1,35181646547462;0,397;0,201;7,09528231644031e-15;"P21";"Gpatch8"
"Gcnt4";3,8055714853973e-19;4,84347191304984;0,069;0,002;7,12022424917835e-15;"P21";"Gcnt4"
"Iffo1";5,86607387920306e-19;2,18825610879915;0,166;0,038;1,09754242279889e-14;"P21";"Iffo1"
"Mas1";6,78418179678177e-19;4,31294481184249;0,08;0,005;1,26932041417787e-14;"P21";"Mas1"
"Scn1a";7,13045834377739e-19;1,0197476757463;0,541;0,337;1,33410875612075e-14;"P21";"Scn1a"
"Oxr1";7,45976784427024e-19;2,01367660585262;0,183;0,047;1,39572256366296e-14;"P21";"Oxr1"
"Baiap2";1,10490575861361e-18;1,11870685983777;0,496;0,288;2,06727867436606e-14;"P21";"Baiap2"
"Pitpnm3";1,18249154121153e-18;2,52232096909165;0,129;0,022;2,21244167360678e-14;"P21";"Pitpnm3"
"Dlgap1";1,35411859239791e-18;1,06952639323041;0,534;0,363;2,5335558863765e-14;"P21";"Dlgap1"
"Stxbp5l";1,45659510284295e-18;1,934277905376;0,188;0,05;2,72528943741916e-14;"P21";"Stxbp5l"
"Cdc37l1";2,13671475640756e-18;1,39019504604037;0,373;0,181;3,99779330923855e-14;"P21";"Cdc37l1"
"Hcn1";3,11297228454136e-18;1,2370403642862;0,345;0,153;5,82437114437689e-14;"P21";"Hcn1"
"Nebl";3,41192784864051e-18;1,50704840753922;0,272;0,102;6,3837170048064e-14;"P21";"Nebl"
"Chrd";3,90768679944556e-18;2,50578448030882;0,127;0,022;7,31128200176264e-14;"P21";"Chrd"
"Ppip5k1";7,04827437698184e-18;1,69427242036702;0,207;0,063;1,3187321359333e-13;"P21";"Ppip5k1"
"Trim9";7,92855038862097e-18;1,17509577197134;0,366;0,171;1,48343177771098e-13;"P21";"Trim9"
"Per2";1,19437180284486e-17;4,13903032275861;0,078;0,005;2,23466964312274e-13;"P21";"Per2"
"Trank1";1,63481677834788e-17;1,52884512060909;0,274;0,107;3,05874219228889e-13;"P21";"Trank1"
"Ighm";1,71344893400271e-17;9,8177079738552;0,047;0;3,20586295551907e-13;"P21";"Ighm"
"Cap2";3,45973718829101e-17;2,22500626261475;0,149;0,033;6,47316827929248e-13;"P21";"Cap2"
"Flt3";4,04848363326037e-17;3,24890665472624;0,093;0,01;7,57471287783015e-13;"P21";"Flt3"
"Gm26699";8,10038502759827e-17;2,38050657583987;0,123;0,022;1,51558203866364e-12;"P21";"Gm26699"
"Scn1b";8,24983377126109e-17;1,39139714437205;0,282;0,115;1,54354389860295e-12;"P21";"Scn1b"
"Egr1";1,05669449129265e-16;2,19198631269858;0,144;0,032;1,97707539320855e-12;"P21";"Egr1"
"Rasgrp1";1,47512386080095e-16;1,72135977610638;0,222;0,076;2,75995674355858e-12;"P21";"Rasgrp1"
"Plekhg5";1,69695217364234e-16;2,22172352076589;0,127;0,025;3,17499751688481e-12;"P21";"Plekhg5"
"Snrnp48";1,81216787815181e-16;1,41976838229964;0,321;0,15;3,39056610002205e-12;"P21";"Snrnp48"
"Onecut2";2,36746309464426e-16;2,7848867943902;0,119;0,021;4,42952345007941e-12;"P21";"Onecut2"
"Mir124a-1hg";2,55392065497448e-16;1,07138996812983;0,429;0,237;4,77838554545726e-12;"P21";"Mir124a-1hg"
"Dclk1";2,97159088416189e-16;0,819407700574923;0,636;0,509;5,5598465442669e-12;"P21";"Dclk1"
"Epb41";3,29146841393776e-16;2,17614182467891;0,155;0,039;6,15833740247756e-12;"P21";"Epb41"
"Fam131a";3,7565610097421e-16;1,81482122592895;0,198;0,063;7,02852564922748e-12;"P21";"Fam131a"
"Itpr1";4,02033028932655e-16;1,32566202235908;0,282;0,117;7,52203797132998e-12;"P21";"Itpr1"
"Pnisr";4,03066935792546e-16;0,818905210369342;0,625;0,438;7,54138236867853e-12;"P21";"Pnisr"
"Fam212b";4,57927130680413e-16;3,08836029082765;0,075;0,006;8,56781661503052e-12;"P21";"Fam212b"
"Wdr37";6,1809842190962e-16;1,8307847536956;0,19;0,058;1,1564621473929e-11;"P21";"Wdr37"
"Gm34721";7,53183273447605e-16;4,64679144008227;0,056;0,002;1,40920590462047e-11;"P21";"Gm34721"
"Rasal2";7,64054004856348e-16;1,50799445815928;0,246;0,094;1,42954504308623e-11;"P21";"Rasal2"
"March11";7,95470080968655e-16;1,7576067983771;0,17;0,048;1,48832452149235e-11;"P21";"March11"
"Pde4d";1,31558240421098e-15;1,37542052968714;0,291;0,127;2,46145467827874e-11;"P21";"Pde4d"
"Pex5l";1,63390150567642e-15;0,935947093665296;0,524;0,326;3,05702971712058e-11;"P21";"Pex5l"
"Rgs7bp";2,04929183320502e-15;1,38033617774378;0,312;0,143;3,83422501992659e-11;"P21";"Rgs7bp"
"Ptpn3";2,21315226331621e-15;2,94879167990536;0,071;0,006;4,14080788466463e-11;"P21";"Ptpn3"
"Plxdc1";4,09201025487986e-15;8,51030726827145;0,047;0,001;7,65615118688022e-11;"P21";"Plxdc1"
"Smpd4";5,40360901173187e-15;1,55655719611707;0,259;0,108;1,01101524609503e-10;"P21";"Smpd4"
"Eml5";5,64182050097517e-15;1,29098066646352;0,362;0,193;1,05558461573245e-10;"P21";"Eml5"
"Ago3";5,87215006662131e-15;1,4335875412772;0,246;0,097;1,09867927746485e-10;"P21";"Ago3"
"Sept8";8,58730175597998e-15;1,48726696952561;0,216;0,078;1,60668415854385e-10;"P21";"Sept8"
"Gls2";9,79711778414712e-15;2,37224111962257;0,121;0,025;1,83304073741393e-10;"P21";"Gls2"
"Trib1";1,46863289414954e-14;2,70208896425513;0,099;0,016;2,74781214495379e-10;"P21";"Trib1"
"Inf2";1,59353900704017e-14;1,35530887666609;0,237;0,093;2,98151148217215e-10;"P21";"Inf2"
"Fam53b";1,83899742643235e-14;2,963013042379;0,088;0,012;3,44076418485492e-10;"P21";"Fam53b"
"Rin1";1,92980784234929e-14;3,11252156875086;0,08;0,009;3,61067047303552e-10;"P21";"Rin1"
"Bbof1";2,07870699684542e-14;2,21571898461107;0,164;0,05;3,88926079109778e-10;"P21";"Bbof1"
"Sox8";2,09162697838868e-14;3,57334621279875;0,065;0,005;3,91343407656522e-10;"P21";"Sox8"
"Pcsk1";2,19802353071279e-14;3,87536135754837;0,065;0,005;4,11250202596362e-10;"P21";"Pcsk1"
"Robo3";2,43607542957123e-14;1,57979501890147;0,192;0,065;4,55789712872778e-10;"P21";"Robo3"
"Sh3bp1";2,54303759363208e-14;4,78461334818999;0,054;0,002;4,75802333768562e-10;"P21";"Sh3bp1"
"Tm6sf1";3,03078796763988e-14;2,68106790482174;0,093;0,014;5,67060428745421e-10;"P21";"Tm6sf1"
"Iqgap2";3,57080968668042e-14;2,85874871593073;0,075;0,008;6,68098492377907e-10;"P21";"Iqgap2"
"Mbnl2";4,60671544616087e-14;1,19091174953867;0,345;0,176;8,61916459976699e-10;"P21";"Mbnl2"
"Pacsin1";5,14944920863303e-14;1,37543049360525;0,284;0,13;9,6346194693524e-10;"P21";"Pacsin1"
"Synpo";5,59114284868523e-14;1,35340299780223;0,172;0,055;1,04610282698901e-09;"P21";"Synpo"
"Ephb6";5,74851149212668e-14;1,86592223685679;0,151;0,042;1,0755465001769e-09;"P21";"Ephb6"
"Efhd2";8,30083963354911e-14;2,40151371808018;0,119;0,026;1,55308709543704e-09;"P21";"Efhd2"
"Syt7";8,59271698890876e-14;0,725065328982388;0,642;0,491;1,60769734862483e-09;"P21";"Syt7"
"Rsrp1";9,49024553316513e-14;0,580414523943376;0,705;0,539;1,7756249392552e-09;"P21";"Rsrp1"
"Nfat5";9,75615124769644e-14;1,00395733459993;0,328;0,162;1,825375898444e-09;"P21";"Nfat5"
"Pcmtd2";1,01421045805507e-13;1,80878367958553;0,172;0,055;1,89758776702103e-09;"P21";"Pcmtd2"
"Stx4a";1,12421997676871e-13;1,46690412439456;0,164;0,051;2,10341557653425e-09;"P21";"Stx4a"
"5031439G07Rik";1,17995112728403e-13;0,822454477167589;0,394;0,216;2,20768855914843e-09;"P21";"5031439G07Rik"
"Sgpp2";1,30447800193045e-13;6,01599258191093;0,043;0,001;2,44067834161188e-09;"P21";"Sgpp2"
"Rapgef5";1,39971611330609e-13;1,32320063263524;0,267;0,119;2,61886884799569e-09;"P21";"Rapgef5"
"Nlk";1,87757891416379e-13;1,53064889517667;0,22;0,086;3,51295014840044e-09;"P21";"Nlk"
"Ttc39b";1,9005552332268e-13;1,79775300418165;0,144;0,04;3,55593884136734e-09;"P21";"Ttc39b"
