predicted.dnn,TH,SC,P,MY,ProjGroup,MainTarget,ProjGroupCol
251_L5 PT CTX,0.022947524,0.112369416,0.39110296,0.470583772,Distal,MY,#67000D
252_L5 PT CTX,0.078957834,0.20692803,0.426209301,0.276352804,Distal,P,#A50F15
253_L5 PT CTX,0.15706289,0.190413347,0.383318419,0.259719591,Distal,P,#CB181D
249_L5 PT CTX,0.098966418,0.285994918,0.482667659,0.132302417,Distal,P,#EF3B2C
259_L5 PT CTX,0.141350619,0.291452643,0.439910015,0.127255237,Intermediate,P,#525252
250_L5 PT CTX,0.142197018,0.356012119,0.432064777,0.069721939,Intermediate,P,#737373
258_L5 PT CTX,0.163961356,0.343625808,0.395621394,0.09673708,Intermediate,P,#BDBDBD
260_L5 PT CTX,0.191780329,0.226682742,0.297930877,0.281033378,NA,NA,#F0F0F0
241_L5 PT CTX,0.22708845,0.388793141,0.279728355,0.104343786,Intermediate,SC,#969696
244_L5 PT CTX,0.284037477,0.378179054,0.309549165,0.028234305,Proximal,SC,#BFD3E6
257_L5 PT CTX,0.290717382,0.312820335,0.300016833,0.096129062,Proximal,SC,#9EBCDA
243_L5 PT CTX,0.342111729,0.449900365,0.196932603,0.011055303,Proximal,SC,#8C96C6
240_L5 PT CTX,0.376185764,0.449422034,0.171107291,0.003284911,Proximal,SC,#8C6BB1
242_L5 PT CTX,0.379811697,0.468956171,0.126193524,0.025028362,Proximal,SC,#88419D
255_L5 PT CTX,0.385717843,0.249882436,0.232238468,0.129305918,Proximal,TH,#9E9AC8
254_L5 PT CTX,0.397172399,0.29772357,0.22850414,0.073200841,Proximal,TH,#54278F
256_L5 PT CTX,0.408403125,0.319061638,0.171159939,0.096865392,Proximal,TH,#EFEDF5
239_L5 PT CTX,0.41245098,0.435736834,0.144543989,0.007262363,Proximal,TH,#DADAEB
261_L4 RSP-ACA,0.424988027,0.463467991,0.108890529,0.002653452,Proximal,TH,#BCBDDC
248_L5 PT CTX,0.468653223,0.356822654,0.16068029,0.013750912,Proximal,TH,#807DBA
246_L5 PT CTX,0.471860788,0.399933792,0.120414227,0.007791193,Proximal,TH,#6A51A3
247_L5 PT CTX,0.49675895,0.317762715,0.177627002,0.007851333,Proximal,TH,#FCFBFD
245_L5 PT CTX,0.544001155,0.333095291,0.110597029,0.012306525,Proximal,TH,#3F007D
